2024-01-17 18:20:08.611 - INFO     - Module UI Manager initialised - UI Manager.lvlib:Main.vi.ACBRProxyCaller.A2600089->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:20:08.620 - DEBUG    - Loading UI Manager... - startup.vi - 0 - 
2024-01-17 18:20:08.803 - DEBUG    - Loading "Navigation"... - startup.vi - 0 - 
2024-01-17 18:20:08.812 - INFO     - Module Event Manager initialised - Event Manager.lvlib:Main.vi.ACBRProxyCaller.A1E0008D->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:20:09.028 - DEBUG    - Loading "Dummy"... - startup.vi - 0 - 
2024-01-17 18:20:09.182 - DEBUG    - Loading "ActorModule"... - startup.vi - 0 - 
2024-01-17 18:20:09.340 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.A3C00092->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:20:09.350 - DEBUG    - Loading "StateMachine"... - startup.vi - 0 - 
2024-01-17 18:20:09.592 - INFO     - Module DBModule started. - DBModule.lvlib:Main.vi.ACBRProxyCaller.A4000034->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:20:09.609 - DEBUG    - Loading "DBModule"... - startup.vi - 0 - 
2024-01-17 18:20:09.773 - DEBUG    - Setting Modules in UI Manager... - startup.vi - 0 - 
2024-01-17 18:20:09.921 - DEBUG    - Setting Modules in Event Manager... - startup.vi - 0 - 
2024-01-17 18:20:09.950 - DEBUG    - Loading Menu... - startup.vi - 0 - 
2024-01-17 18:20:09.986 - INFO     - Module Event Manager configured. - Event Manager.lvlib:Main.vi.ACBRProxyCaller.A1E0008D->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:20:09.992 - DEBUG    - Configure statically loaded modules... - startup.vi - 0 - 
2024-01-17 18:20:10.037 - INFO     - Module UI Manager configured. - UI Manager.lvlib:Main.vi.ACBRProxyCaller.A2600089->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:20:10.064 - DEBUG    - Configure module Framework\Navigation ... - startup.vi - 0 - 
